game_id,terraform_rating,is_winner,award_2_funder,award_3_name,milestone_2_points,player,num_greeneries,total_points,num_cities,award_2_points,milestone_3_name,card_points,award_1_name,award_1_funder,date,venus,num_greenery_adjacencies,award_1_points,total_percent_of_points,corporation,colonies,prelude,point_diff,milestone_1_name,num_players,award_3_funder,award_3_points,milestone_2_name,board,num_colonies,turmoil,bgg,milestone_1_points,corporation_origin,award_2_name,place,milestone_3_points
179,46,0,Matt,Cultivator ,,Matt,0,93,1,5,Tactician ,37,Contractor ,Ben,2021-12-18,1,0,,32.63157895,Celestic,0,1,11,Hoverlord ,3,Ben,,Diversifier ,Hellas,,0,0,5,Venus,Venuphile ,2.0,
179,28,1,Matt,Cultivator ,,Ben,10,104,6,,Tactician ,39,Contractor ,Ben,2021-12-18,1,12,5,36.49122807,Manutech,0,1,0,Hoverlord ,3,Ben,5,Diversifier ,Hellas,,0,0,,Venus,Venuphile ,1.0,5
179,37,0,Matt,Cultivator ,5,Tony,6,88,6,2,Tactician ,23,Contractor ,Ben,2021-12-18,1,11,2,30.87719298,Valley Trust,0,1,16,Hoverlord ,3,Ben,2,Diversifier ,Hellas,,0,0,,Prelude,Venuphile ,3.0,
178,34,0,Ben,Landlord ,5,Ben,8,117,6,,Mayor ,46,Miner ,Matt,2021-12-11,0,14,,78,Interplanetary Cinematics,1,0,33,Planner ,2,Matt,,Builder ,Tharsis,3,0,0,5,Base,Scientist ,2.0,5
178,65,1,Ben,Landlord ,,Matt,10,150,5,5,Mayor ,48,Miner ,Matt,2021-12-11,0,12,5,100,Phobolog,1,0,0,Planner ,2,Matt,5,Builder ,Tharsis,6,0,0,,Base,Scientist ,1.0,
177,49,0,Ben,Benefactor ,,Matt,6,101,3,2,Ecologist ,23,Estate Dealer ,Matt,2021-12-06,1,6,5,35.43859649,Arcadian Communities,1,0,1,Specialist ,3,Matt,5,Hoverlord ,Elysium,2,0,0,5,Promotional,Venuphile ,2.0,
177,27,0,Ben,Benefactor ,5,Tony,0,82,5,2,Ecologist ,44,Estate Dealer ,Matt,2021-12-06,1,2,2,28.77192982,Aridor,1,0,20,Specialist ,3,Matt,,Hoverlord ,Elysium,3,0,0,,Colonies,Venuphile ,3.0,
177,37,1,Ben,Benefactor ,,Ben,3,102,4,5,Ecologist ,42,Estate Dealer ,Matt,2021-12-06,1,6,2,35.78947368,Poseidon,1,0,0,Specialist ,3,Matt,2,Hoverlord ,Elysium,3,0,0,,Colonies,Venuphile ,1.0,5
176,28,0,Tony,Thermalist ,5,Tony,6,86,6,5,Gardener ,26,Scientist ,Matt,2021-12-02,0,14,2,33.59375,Tharsis Republic,0,1,14,Planner ,3,Hank,,Mayor ,Tharsis,,0,0,,Base,Landlord ,2.0,
176,44,1,Tony,Thermalist ,,Matt,5,100,3,,Gardener ,31,Scientist ,Matt,2021-12-02,0,5,5,39.0625,Point Luna,0,1,0,Planner ,3,Hank,5,Mayor ,Tharsis,,0,0,5,Prelude,Landlord ,1.0,
176,39,0,Tony,Thermalist ,,Hank,7,70,4,2,Gardener ,6,Scientist ,Matt,2021-12-02,0,9,,27.34375,Teractor,0,1,30,Planner ,3,Hank,2,Mayor ,Tharsis,,0,0,,Base,Landlord ,3.0,5
175,26,0,Matt,Landlord ,,Ben,8,59,1,,Planner ,17,Miner ,Tony,2021-11-16,0,1,,26.69683258,Terralabs Research,0,1,27,Builder ,3,Tony,2,Terraformer ,Tharsis,,1,0,,Turmoil,Scientist ,3.0,5
175,37,0,Matt,Landlord ,5,Matt,0,76,5,5,Planner ,18,Miner ,Tony,2021-11-16,0,6,5,34.38914027,Saturn Systems,0,1,10,Builder ,3,Tony,,Terraformer ,Tharsis,,1,0,,Base,Scientist ,2.0,
175,29,1,Matt,Landlord ,,Tony,6,86,3,2,Planner ,30,Miner ,Tony,2021-11-16,0,7,2,38.91402715,Cheung Shing Mars,0,1,0,Builder ,3,Tony,5,Terraformer ,Tharsis,,1,0,5,Prelude,Scientist ,1.0,
174,45,1,Matt,Contractor ,,Ben,6,130,4,5,Rim Settler ,51,Venuphile ,Matt,2021-11-12,1,11,2,44.21768707,Valley Trust,0,1,0,Diversifier ,3,Ben,5,Tactician ,Hellas,,0,0,5,Prelude,Space Baron ,1.0,
174,34,0,Matt,Contractor ,5,Matt,2,100,6,2,Rim Settler ,39,Venuphile ,Matt,2021-11-12,1,8,5,34.01360544,Vitor,0,1,30,Diversifier ,3,Ben,,Tactician ,Hellas,,0,0,,Prelude,Space Baron ,2.0,5
174,38,0,Matt,Contractor ,,Katie,4,64,1,2,Rim Settler ,15,Venuphile ,Matt,2021-11-12,1,3,,21.76870748,Point Luna,0,1,66,Diversifier ,3,Ben,2,Tactician ,Hellas,,0,0,,Prelude,Space Baron ,3.0,
173,49,1,Matt,Estate Dealer ,,Ben,9,138,6,5,Ecologist ,41,Celebrity ,Ben,2021-11-11,1,14,5,56.09756098,Point Luna,1,1,0,Specialist ,2,Matt,5,Legend ,Elysium,3,0,0,5,Prelude,Benefactor ,1.0,5
173,49,0,Matt,Estate Dealer ,5,Matt,4,108,5,5,Ecologist ,33,Celebrity ,Ben,2021-11-11,1,7,,43.90243902,Manutech,1,1,30,Specialist ,2,Matt,5,Legend ,Elysium,2,0,0,,Venus,Benefactor ,2.0,
172,54,1,Ben,Thermalist ,,Ben,10,152,7,5,Builder ,52,Miner ,Matt,2021-11-10,1,21,,58.91472868,Inventrix,1,1,0,Hoverlord ,2,Matt,,Planner ,Tharsis,2,0,0,5,Base,Landlord ,1.0,5
172,39,0,Ben,Thermalist ,5,Matt,4,106,3,,Builder ,45,Miner ,Matt,2021-11-10,1,3,5,41.08527132,Vitor,1,1,46,Hoverlord ,2,Matt,5,Planner ,Tharsis,3,0,0,,Prelude,Landlord ,2.0,
171,45,1,Ben,Benefactor ,,Ben,7,94,5,2,Legend ,15,Industrialist ,Ben,2021-10-17,0,18,2,37.75100402,Phobolog,1,1,0,Ecologist ,3,Ben,5,Generalist ,Elysium,3,0,0,,Base,Estate Dealer ,1.0,
171,33,0,Ben,Benefactor ,,Matt,0,75,3,,Legend ,28,Industrialist ,Ben,2021-10-17,0,2,5,30.12048193,Tharsis Republic,1,1,19,Ecologist ,3,Ben,2,Generalist ,Elysium,,0,0,,Base,Estate Dealer ,3.0,5
171,32,0,Ben,Benefactor ,5,Tony,9,80,4,5,Legend ,13,Industrialist ,Ben,2021-10-17,0,11,,32.12851406,Thorgate,1,1,14,Ecologist ,3,Ben,,Generalist ,Elysium,2,0,0,5,Base,Estate Dealer ,2.0,
170,30,0,Matt,Excentric ,,Tony,1,77,1,,Tactician ,30,Venuphile ,Tony,2021-09-30,1,1,5,31.17408907,Morning Star Inc,0,1,13,Diversifier ,3,Tony,5,Polar Explorer ,Hellas,,0,0,,Venus,Contractor ,3.0,5
170,49,0,Matt,Excentric ,,Matt,8,80,4,5,Tactician ,4,Venuphile ,Tony,2021-09-30,1,14,,32.38866397,Mining Guild,0,1,10,Diversifier ,3,Tony,,Polar Explorer ,Hellas,,0,0,,Base,Contractor ,2.0,
170,32,1,Matt,Excentric ,5,Ben,10,90,6,2,Tactician ,12,Venuphile ,Tony,2021-09-30,1,20,2,36.43724696,Robinson Industries,0,1,0,Diversifier ,3,Tony,2,Polar Explorer ,Hellas,,0,0,5,Prelude,Contractor ,1.0,
169,36,0,Matt,Scientist ,5,Matt,9,89,6,5,Mayor ,11,Miner ,Matt,2021-09-22,0,11,5,34.90196078,Septem Tribus,1,1,7,Terraformer ,3,Tony,2,Builder ,Tharsis,,1,0,,Turmoil,Landlord ,2.0,5
169,31,0,Matt,Scientist ,,Ben,3,70,5,2,Mayor ,25,Miner ,Matt,2021-09-22,0,7,2,27.45098039,Phobolog,1,1,26,Terraformer ,3,Tony,,Builder ,Tharsis,,1,0,,Base,Landlord ,3.0,
169,33,1,Matt,Scientist ,,Tony,1,96,1,,Mayor ,51,Miner ,Matt,2021-09-22,0,1,,37.64705882,Aridor,1,1,0,Terraformer ,3,Tony,5,Builder ,Tharsis,,1,0,5,Colonies,Landlord ,1.0,
168,43,0,Matt,Celebrity ,5,Ben,14,116,7,5,Tycoon ,22,Benefactor ,Ben,2021-09-13,0,17,5,46.96356275,Teractor,0,1,15,Specialist ,2,Matt,,Generalist ,Elysium,,0,0,,Base,Dessert Settler ,2.0,5
168,42,1,Matt,Celebrity ,,Matt,6,131,8,,Tycoon ,57,Benefactor ,Ben,2021-09-13,0,16,,53.03643725,Saturn Systems,0,1,0,Specialist ,2,Matt,5,Generalist ,Elysium,,0,0,5,Base,Dessert Settler ,1.0,
167,32,1,Tony,Celebrity ,5,Ben,7,116,9,,Legend ,42,Industrialist ,Ben,2021-08-27,0,20,,54.20560748,Thorgate,0,1,0,Specialist ,2,Ben,5,Ecologist ,Elysium,,1,0,5,Base,Dessert Settler ,1.0,
167,36,0,Tony,Celebrity ,,Tony,13,98,6,5,Legend ,15,Industrialist ,Ben,2021-08-27,0,19,5,45.79439252,Lakefront Resorts,0,1,18,Specialist ,2,Ben,,Ecologist ,Elysium,,1,0,,Turmoil,Dessert Settler ,2.0,5
166,46,1,Tony, Industrialist ,,Ben,4,101,3,2,Ecologist ,33,Venuphile ,Matt,2021-07-29,1,2,2,35.9430605,Cheung Shing Mars,0,1,0,Specialist ,3,Matt,2,Generalist ,Elysium,,0,0,5,Prelude,Estate Dealer ,1.0,5
166,32,0,Tony, Industrialist ,5,Tony,1,85,5,2,Ecologist ,41,Venuphile ,Matt,2021-07-29,1,4,,30.24911032,Saturn Systems,0,1,16,Specialist ,3,Matt,,Generalist ,Elysium,,0,0,,Base,Estate Dealer ,3.0,
166,38,0,Tony, Industrialist ,,Matt,5,95,4,5,Ecologist ,34,Venuphile ,Matt,2021-07-29,1,3,5,33.80782918,Manutech,0,1,6,Specialist ,3,Matt,5,Generalist ,Elysium,,0,0,,Venus,Estate Dealer ,2.0,
165,40,0,Pat,Baker ,,Pat,4,81,2,5,Builder ,24,Scientist ,Matt,2021-07-22,0,6,,32.01581028,Saturn Systems,1,1,21,Mayor ,3,Pat,2,Planner ,Tharsis,3,0,0,,Base,Miner ,2.0,
165,23,0,Pat,Baker ,5,Matt,1,70,1,,Builder ,36,Scientist ,Matt,2021-07-22,0,0,5,27.66798419,Vitor,1,1,32,Mayor ,3,Pat,,Planner ,Tharsis,3,0,0,,Prelude,Miner ,3.0,
165,44,1,Pat,Baker ,,Ben,6,102,3,2,Builder ,25,Scientist ,Matt,2021-07-22,0,8,2,40.31620553,Phobolog,1,1,0,Mayor ,3,Pat,5,Planner ,Tharsis,3,0,0,5,Base,Miner ,1.0,5
164,25,0,Tony,Industrialist ,,Matt,5,65,2,2,Generalist ,22,Celebrity ,Matt,2021-06-04,0,6,5,23.72262774,Vitor,0,1,24,Specialist ,4,Tom,,Ecologist ,Elysium,,0,0,,Prelude,Estate Dealer ,3.0,
164,29,0,Tony,Industrialist ,,Ben,5,67,3,,Generalist ,19,Celebrity ,Matt,2021-06-04,0,7,,24.45255474,Valley Trust,0,1,22,Specialist ,4,Tom,2,Ecologist ,Elysium,,0,0,5,Prelude,Estate Dealer ,2.0,
164,34,0,Tony,Industrialist ,,Tom,1,53,1,,Generalist ,6,Celebrity ,Matt,2021-06-04,0,2,5,19.34306569,Mining Guild,0,1,36,Specialist ,4,Tom,5,Ecologist ,Elysium,,0,0,,Base,Estate Dealer ,4.0,
164,38,1,Tony,Industrialist ,5,Tony,10,89,7,5,Generalist ,7,Celebrity ,Matt,2021-06-04,0,17,,32.48175182,Tharsis Republic,0,1,0,Specialist ,4,Tom,2,Ecologist ,Elysium,,0,0,,Base,Estate Dealer ,1.0,5
163,56,0,UNKNOWN,Landlord,5,Stephen,8,107,7,5,Builder,10,Scientist ,UNKNOWN,2021-05-31,0,18,,41.31274131,Interplanetary Cinematics,0,1,45,Planner,2,UNKNOWN,,Mayor ,Tharsis,,0,0,,Base,Thermalist,2.0,5
163,51,1,UNKNOWN,Landlord,,Matt,11,152,7,,Builder,56,Scientist ,UNKNOWN,2021-05-31,0,19,5,58.68725869,Teractor,0,1,0,Planner,2,UNKNOWN,5,Mayor ,Tharsis,,0,0,5,Base,Thermalist,1.0,
162,39,1,katie,Miner ,,Matt,4,73,0,,Terraformer,10,Banker ,stephen,2021-05-25,0,10,,36.68341709,Robinson Industries,0,1,0,Mayor,3,katie,,Builder,Tharsis,,0,0,5,Prelude,Scientist ,1.0,5
162,34,0,katie,Miner ,5,Stephen,2,63,4,2,Terraformer,11,Banker ,stephen,2021-05-25,0,2,5,31.65829146,United Nations Mars Initiative,0,1,10,Mayor,3,katie,2,Builder,Tharsis,,0,0,,Base,Scientist ,2.5,
162,36,0,katie,Miner ,,Katie,3,63,3,5,Terraformer,7,Banker ,stephen,2021-05-25,0,5,2,31.65829146,Helion,0,1,10,Mayor,3,katie,5,Builder,Tharsis,,0,0,,Base,Scientist ,2.5,
161,28,0,Matt,Landlord ,,Matt,1,49,0,5,Builder ,10,Scientist ,Ben,2021-05-25,0,0,5,18.99224806,Inventrix,0,1,28,Gardener ,4,Meister,,Mayor ,Tharsis,,0,0,,Base,Miner ,4.0,
161,31,0,Matt,Landlord ,,Ben,3,70,4,,Builder ,19,Scientist ,Ben,2021-05-25,0,8,2,27.13178295,Teractor,0,1,7,Gardener ,4,Meister,2,Mayor ,Tharsis,,0,0,,Base,Miner ,2.0,5
161,36,1,Matt,Landlord ,,Meister,11,77,3,2,Builder ,7,Scientist ,Ben,2021-05-25,0,11,,29.84496124,Ecoline,0,1,0,Gardener ,4,Meister,5,Mayor ,Tharsis,,0,0,5,Base,Miner ,1.0,
161,34,0,Matt,Landlord ,5,Katie,2,62,3,,Builder ,17,Scientist ,Ben,2021-05-25,0,4,,24.03100775,Phobolog,0,1,15,Gardener ,4,Meister,,Mayor ,Tharsis,,0,0,,Base,Miner ,3.0,
160,31,0,Matt,Banker ,,Tony,1,82,3,,Gardener ,46,Miner ,Ben,2021-05-21,0,4,,33.33333333,Inventrix,0,1,4,Builder ,3,Matt,,Mayor ,Tharsis,,0,0,,Base,Landlord ,2.0,
160,37,1,Matt,Banker ,5,Matt,6,86,5,5,Gardener ,6,Miner ,Ben,2021-05-21,0,10,2,34.95934959,Interplanetary Cinematics,0,1,0,Builder ,3,Matt,5,Mayor ,Tharsis,,0,0,5,Base,Landlord ,1.0,5
160,39,0,Matt,Banker ,,Ben,5,78,2,2,Gardener ,17,Miner ,Ben,2021-05-21,0,8,5,31.70731707,Vitor,0,1,8,Builder ,3,Matt,2,Mayor ,Tharsis,,0,0,,Prelude,Landlord ,3.0,
159,42,0,Tony,Contractor ,,Ben,6,113,5,2,Polar Explorer ,48,Venuphile ,Matt,2021-04-23,1,8,,36.4516129,Robinson Industries,0,1,2,Diversifier ,3,Matt,2,Hoverlord ,Hellas,,1,0,,Prelude,Eccentric ,2.0,5
159,40,0,Tony,Contractor ,,Matt,5,82,4,,Polar Explorer ,19,Venuphile ,Matt,2021-04-23,1,8,5,26.4516129,Terralabs Research,0,1,33,Diversifier ,3,Matt,5,Hoverlord ,Hellas,,1,0,,Turmoil,Eccentric ,3.0,
159,23,1,Tony,Contractor ,5,Tony,3,115,8,5,Polar Explorer ,61,Venuphile ,Matt,2021-04-23,1,11,2,37.09677419,Point Luna,0,1,0,Diversifier ,3,Matt,,Hoverlord ,Hellas,,1,0,5,Prelude,Eccentric ,1.0,
158,28,0,Tony,Scientist ,5,Tony,3,70,4,5,Terraformer ,24,Banker ,Ben,2021-04-16,1,3,2,26.21722846,Cheung Shing Mars,1,1,1,Mayor ,4,Pat,,Builder ,Tharsis,3,1,0,,Prelude,Venuphile ,2.0,
158,25,1,Tony,Scientist ,,Ben,5,71,4,,Terraformer ,27,Banker ,Ben,2021-04-16,1,7,5,26.5917603,Poseidon,1,1,0,Mayor ,4,Pat,2,Builder ,Tharsis,3,1,0,,Colonies,Venuphile ,1.0,
158,22,0,Tony,Scientist ,,Pat,3,68,4,2,Terraformer ,26,Banker ,Ben,2021-04-16,1,5,,25.46816479,Utopia Invest,1,1,3,Mayor ,4,Pat,5,Builder ,Tharsis,2,1,0,5,Turmoil,Venuphile ,3.0,
158,32,0,Tony,Scientist ,,Ezra,3,58,5,,Terraformer ,9,Banker ,Ben,2021-04-16,1,9,,21.72284644,Phobolog,1,1,13,Mayor ,4,Pat,,Builder ,Tharsis,1,1,0,,Base,Venuphile ,4.0,5
157,33,0,Matt,Banker ,5,Ben,9,102,8,,Mayor ,18,Landlord ,Ben,2021-04-09,0,22,5,31.67701863,Robinson Industries,0,1,13,Planner ,3,Matt,5,Builder ,Tharsis,,0,0,,Prelude,Scientist ,3.0,5
157,41,1,Matt,Banker ,,Tony,6,115,4,5,Mayor ,48,Landlord ,Ben,2021-04-09,0,8,2,35.71428571,Point Luna,0,1,0,Planner ,3,Matt,,Builder ,Tharsis,,0,0,5,Prelude,Scientist ,1.0,
157,38,0,Matt,Banker ,,Matt,3,105,2,2,Mayor ,56,Landlord ,Ben,2021-04-09,0,4,,32.60869565,Saturn Systems,0,1,10,Planner ,3,Matt,2,Builder ,Tharsis,,0,0,,Base,Scientist ,2.0,
156,32,0,Matt,Celebrity ,,Pat,2,77,3,,Hoverlord ,26,Venuphile ,Matt,2021-03-24,1,5,2,25.83892617,Viron,0,1,10,Specialist ,4,Matt,5,Legend ,Elysium,,0,0,5,Venus,Benefactor ,2.0,
156,39,1,Matt,Celebrity ,,Ben,7,87,3,2,Hoverlord ,22,Venuphile ,Matt,2021-03-24,1,12,,29.19463087,Mining Guild,0,1,0,Specialist ,4,Matt,5,Legend ,Elysium,,0,0,,Base,Benefactor ,1.0,
156,34,0,Matt,Celebrity ,5,Tony,4,64,4,,Hoverlord ,13,Venuphile ,Matt,2021-03-24,1,6,2,21.47651007,Valley Trust,0,1,23,Specialist ,4,Matt,,Legend ,Elysium,,0,0,,Prelude,Benefactor ,4.0,
156,40,0,Matt,Celebrity ,,Matt,2,70,3,5,Hoverlord ,5,Venuphile ,Matt,2021-03-24,1,3,5,23.48993289,Celestic,0,1,17,Specialist ,4,Matt,5,Legend ,Elysium,,0,0,,Venus,Benefactor ,3.0,5
